Obs,svspp,SEASON,geoarea,num_tows,meansw,variance,cv,preycat,totwt,relmsw,ci,relci
1,15,FALL,GB,1020,0.98,0.276,0.53605,CLUHAR,7.2193,13.5752,0.0329,0.45571
2,15,FALL,GB,1020,0.0019,0,0.98033,GADMOR,7.2193,0.027,0.00012,0.00166
3,15,FALL,GB,1020,0.0161,0,0.97735,LIMFER,7.2193,0.2233,0.00099,0.01367
4,15,FALL,GB,1020,0.0224,0,0.93026,LOPAME,7.2193,0.31,0.0013,0.01806
5,15,FALL,GB,1020,0.0029,0,0.63539,MELAEG,7.2193,0.0396,0.00011,0.00158
6,15,FALL,GB,1020,0.0208,0,0.46146,MERBIL,7.2193,0.2875,0.0006,0.00831
7,15,FALL,GB,1020,2.7082,0.249,0.18415,OTHER,7.2193,37.5126,0.03123,0.43259
8,15,FALL,GB,1020,2.2001,1.469,0.55086,OTHFIS,7.2193,30.4748,0.07589,1.05127
9,15,FALL,GB,1020,0.0009,0,1.00212,PLEAME,7.2193,0.013,0.00006,0.00082
10,15,FALL,GB,1020,0.0016,0,0.98935,RAJERI,7.2193,0.0226,0.0001,0.0014
11,15,FALL,GB,1020,0.0032,0,0.4427,SCOSCO,7.2193,0.0444,0.00009,0.00123
12,15,FALL,GB,1020,0.0032,0,1.00421,SQUACA,7.2193,0.0444,0.0002,0.00279
13,15,FALL,GB,1020,1.258,0.081,0.22607,UNIFIS,7.2193,17.4255,0.01781,0.24669
14,15,SPRING,GB,828,0.0321,0,0.39437,CLUHAR,4.063,0.7891,0.00088,0.02163
15,15,SPRING,GB,828,0.0009,0,0.74158,GADMOR,4.063,0.0227,0.00005,0.00117
16,15,SPRING,GB,828,0.0168,0,0.65957,LIMFER,4.063,0.4136,0.00077,0.01896
17,15,SPRING,GB,828,0,0,0,LOPAME,4.063,0,0,0
18,15,SPRING,GB,828,0,0,0,MELAEG,4.063,0,0,0
19,15,SPRING,GB,828,0.0974,0.006,0.79855,MERBIL,4.063,2.397,0.00541,0.13304
20,15,SPRING,GB,828,2.853,0.419,0.22682,OTHER,4.063,70.2191,0.04498,1.107
21,15,SPRING,GB,828,0.403,0.007,0.21122,OTHFIS,4.063,9.9178,0.00592,0.1456
22,15,SPRING,GB,828,0,0,0,PLEAME,4.063,0,0,0
23,15,SPRING,GB,828,0,0,0,RAJERI,4.063,0,0,0
24,15,SPRING,GB,828,0.068,0.002,0.60061,SCOSCO,4.063,1.6737,0.00284,0.06987
25,15,SPRING,GB,828,0,0,0,SQUACA,4.063,0,0,0
26,15,SPRING,GB,828,0.5918,0.016,0.21314,UNIFIS,4.063,14.5669,0.00877,0.2158
27,23,FALL,GB,1133,0.3735,0.039,0.52772,CLUHAR,9.876,3.782,0.01171,0.11859
28,23,FALL,GB,1133,0.0001,0,1.00119,GADMOR,9.876,0.001,0.00001,0.00006
29,23,FALL,GB,1133,0.0001,0,0.9288,LIMFER,9.876,0.0008,0,0.00005
30,23,FALL,GB,1133,0,0,0,LOPAME,9.876,0,0,0
31,23,FALL,GB,1133,0.1414,0.007,0.58349,MELAEG,9.876,1.4318,0.0049,0.04964
32,23,FALL,GB,1133,0.3481,0.022,0.42576,MERBIL,9.876,3.5246,0.00881,0.08916
33,23,FALL,GB,1133,3.8314,0.212,0.1203,OTHER,9.876,38.7953,0.02739,0.2773
34,23,FALL,GB,1133,3.9654,0.598,0.19504,OTHFIS,9.876,40.1518,0.04595,0.4653
35,23,FALL,GB,1133,0,0,0,PLEAME,9.876,0,0,0
36,23,FALL,GB,1133,0.0006,0,1.00189,RAJERI,9.876,0.0057,0.00003,0.00034
37,23,FALL,GB,1133,0.0056,0,1.00156,SCOSCO,9.876,0.0569,0.00033,0.00339
38,23,FALL,GB,1133,0,0,0,SQUACA,9.876,0,0,0
39,23,FALL,GB,1133,1.2098,0.173,0.34415,UNIFIS,9.876,12.25,0.02474,0.2505
40,23,SPRING,GB,987,0.0409,0.001,0.7689,CLUHAR,5.7764,0.7079,0.002,0.03465
41,23,SPRING,GB,987,0,0,0,GADMOR,5.7764,0,0,0
42,23,SPRING,GB,987,0,0,0,LIMFER,5.7764,0,0,0
43,23,SPRING,GB,987,0,0,0,LOPAME,5.7764,0,0,0
44,23,SPRING,GB,987,0,0,0,MELAEG,5.7764,0,0,0
45,23,SPRING,GB,987,0.0153,0,0.95311,MERBIL,5.7764,0.265,0.00093,0.01608
46,23,SPRING,GB,987,3.8218,0.147,0.10015,OTHER,5.7764,66.1628,0.02437,0.42183
47,23,SPRING,GB,987,1.5055,0.116,0.22648,OTHFIS,5.7764,26.0624,0.02171,0.37577
48,23,SPRING,GB,987,0,0,0,PLEAME,5.7764,0,0,0
49,23,SPRING,GB,987,0.0057,0,0.89017,RAJERI,5.7764,0.0982,0.00032,0.00556
50,23,SPRING,GB,987,0.0127,0,0.66495,SCOSCO,5.7764,0.2207,0.00054,0.00934
51,23,SPRING,GB,987,0,0,0,SQUACA,5.7764,0,0,0
52,23,SPRING,GB,987,0.3745,0.017,0.34329,UNIFIS,5.7764,6.483,0.00818,0.14168
53,26,FALL,GB,1062,0.0001,0,1.00535,CLUHAR,2.519,0.0054,0.00001,0.00033
54,26,FALL,GB,1062,0,0,0,GADMOR,2.519,0,0,0
55,26,FALL,GB,1062,0.0005,0,0.56521,LIMFER,2.519,0.0186,0.00002,0.00065
56,26,FALL,GB,1062,0,0,0,LOPAME,2.519,0,0,0
57,26,FALL,GB,1062,0.0019,0,1.00505,MELAEG,2.519,0.0766,0.00012,0.00472
58,26,FALL,GB,1062,0.0179,0,0.47165,MERBIL,2.519,0.7118,0.00052,0.0206
59,26,FALL,GB,1062,2.4004,0.041,0.08426,OTHER,2.519,95.2935,0.01241,0.49275
60,26,FALL,GB,1062,0.0625,0,0.235,OTHFIS,2.519,2.4793,0.0009,0.03576
61,26,FALL,GB,1062,0.0003,0,0.83624,PLEAME,2.519,0.01,0.00001,0.00051
62,26,FALL,GB,1062,0,0,0,RAJERI,2.519,0,0,0
63,26,FALL,GB,1062,0,0,0,SCOSCO,2.519,0,0,0
64,26,FALL,GB,1062,0,0,0,SQUACA,2.519,0,0,0
65,26,FALL,GB,1062,0.0354,0,0.22617,UNIFIS,2.519,1.4049,0.00049,0.0195
66,26,SPRING,GB,1002,0,0,1.00245,CLUHAR,3.0993,0.0007,0,0.00005
67,26,SPRING,GB,1002,0,0,0,GADMOR,3.0993,0,0,0
68,26,SPRING,GB,1002,0.0004,0,1.00245,LIMFER,3.0993,0.0126,0.00002,0.0008
69,26,SPRING,GB,1002,0,0,0,LOPAME,3.0993,0,0,0
70,26,SPRING,GB,1002,0,0,0,MELAEG,3.0993,0,0,0
71,26,SPRING,GB,1002,0.0203,0,0.99642,MERBIL,3.0993,0.6541,0.00128,0.04118
72,26,SPRING,GB,1002,2.9594,0.04,0.06781,OTHER,3.0993,95.4863,0.01268,0.4091
73,26,SPRING,GB,1002,0.0627,0,0.24453,OTHFIS,3.0993,2.0216,0.00097,0.03123
74,26,SPRING,GB,1002,0,0,0,PLEAME,3.0993,0,0,0
75,26,SPRING,GB,1002,0,0,0,RAJERI,3.0993,0,0,0
76,26,SPRING,GB,1002,0,0,0,SCOSCO,3.0993,0,0,0
77,26,SPRING,GB,1002,0,0,0,SQUACA,3.0993,0,0,0
78,26,SPRING,GB,1002,0.0566,0,0.25944,UNIFIS,3.0993,1.8247,0.00093,0.02991
79,32,FALL,GB,336,0,0,0,CLUHAR,0.3439,0,0,0
80,32,FALL,GB,336,0,0,0,GADMOR,0.3439,0,0,0
81,32,FALL,GB,336,0,0,0,LIMFER,0.3439,0,0,0
82,32,FALL,GB,336,0,0,0,LOPAME,0.3439,0,0,0
83,32,FALL,GB,336,0,0,0,MELAEG,0.3439,0,0,0
84,32,FALL,GB,336,0.0021,0,0.9118,MERBIL,0.3439,0.6136,0.00021,0.06104
85,32,FALL,GB,336,0.3411,0.03,0.50667,OTHER,0.3439,99.1751,0.01885,5.48258
86,32,FALL,GB,336,0.0001,0,0.95891,OTHFIS,0.3439,0.0329,0.00001,0.00344
87,32,FALL,GB,336,0,0,0,PLEAME,0.3439,0,0,0
88,32,FALL,GB,336,0,0,0,RAJERI,0.3439,0,0,0
89,32,FALL,GB,336,0,0,0,SCOSCO,0.3439,0,0,0
90,32,FALL,GB,336,0,0,0,SQUACA,0.3439,0,0,0
91,32,FALL,GB,336,0.0006,0,0.57642,UNIFIS,0.3439,0.1785,0.00004,0.01123
92,32,SPRING,GB,581,0,0,0,CLUHAR,0.5411,0,0,0
93,32,SPRING,GB,581,0,0,0,GADMOR,0.5411,0,0,0
94,32,SPRING,GB,581,0,0,0,LIMFER,0.5411,0,0,0
95,32,SPRING,GB,581,0,0,0,LOPAME,0.5411,0,0,0
96,32,SPRING,GB,581,0,0,0,MELAEG,0.5411,0,0,0
97,32,SPRING,GB,581,0,0,0,MERBIL,0.5411,0,0,0
98,32,SPRING,GB,581,0.5158,0.01,0.19715,OTHER,0.5411,95.3245,0.00844,1.55935
99,32,SPRING,GB,581,0.017,0,0.58414,OTHFIS,0.5411,3.1389,0.00082,0.15214
100,32,SPRING,GB,581,0,0,0,PLEAME,0.5411,0,0,0
101,32,SPRING,GB,581,0,0,0,RAJERI,0.5411,0,0,0
102,32,SPRING,GB,581,0,0,0,SCOSCO,0.5411,0,0,0
103,32,SPRING,GB,581,0,0,0,SQUACA,0.5411,0,0,0
104,32,SPRING,GB,581,0.0083,0,0.87101,UNIFIS,0.5411,1.5366,0.0006,0.11105
105,72,FALL,GB,1083,0.175,0.007,0.47527,CLUHAR,1.8111,9.6609,0.00505,0.27905
106,72,FALL,GB,1083,0,0,0,GADMOR,1.8111,0,0,0
107,72,FALL,GB,1083,0,0,0,LIMFER,1.8111,0,0,0
108,72,FALL,GB,1083,0,0,0,LOPAME,1.8111,0,0,0
109,72,FALL,GB,1083,0.0072,0,0.69655,MELAEG,1.8111,0.3952,0.0003,0.01673
110,72,FALL,GB,1083,0.4811,0.02,0.295,MERBIL,1.8111,26.5634,0.00862,0.47623
111,72,FALL,GB,1083,0.5842,0.007,0.14326,OTHER,1.8111,32.2595,0.00509,0.28087
112,72,FALL,GB,1083,0.1366,0.001,0.24813,OTHFIS,1.8111,7.5427,0.00206,0.11374
113,72,FALL,GB,1083,0,0,0,PLEAME,1.8111,0,0,0
114,72,FALL,GB,1083,0,0,0,RAJERI,1.8111,0,0,0
115,72,FALL,GB,1083,0.0956,0.004,0.67872,SCOSCO,1.8111,5.2788,0.00394,0.21774
116,72,FALL,GB,1083,0,0,0,SQUACA,1.8111,0,0,0
117,72,FALL,GB,1083,0.3314,0.009,0.27891,UNIFIS,1.8111,18.2996,0.00562,0.31018
118,72,SPRING,GB,707,0.0082,0,0.62067,CLUHAR,3.9562,0.2063,0.00038,0.00963
119,72,SPRING,GB,707,0,0,0,GADMOR,3.9562,0,0,0
120,72,SPRING,GB,707,0,0,0,LIMFER,3.9562,0,0,0
121,72,SPRING,GB,707,0,0,0,LOPAME,3.9562,0,0,0
122,72,SPRING,GB,707,0,0,0,MELAEG,3.9562,0,0,0
123,72,SPRING,GB,707,0.2183,0.015,0.55973,MERBIL,3.9562,5.5185,0.00919,0.23234
124,72,SPRING,GB,707,0.6213,0.091,0.48418,OTHER,3.9562,15.7049,0.02263,0.57196
125,72,SPRING,GB,707,0.014,0,0.53152,OTHFIS,3.9562,0.3539,0.00056,0.01415
126,72,SPRING,GB,707,0,0,0,PLEAME,3.9562,0,0,0
127,72,SPRING,GB,707,0,0,0,RAJERI,3.9562,0,0,0
128,72,SPRING,GB,707,0.1714,0.029,0.99669,SCOSCO,3.9562,4.3321,0.01285,0.32477
129,72,SPRING,GB,707,0,0,0,SQUACA,3.9562,0,0,0
130,72,SPRING,GB,707,2.923,2.655,0.55743,UNIFIS,3.9562,73.8842,0.12256,3.09786
131,73,FALL,GB,561,1.8824,0.534,0.38823,CLUHAR,17.4888,10.7632,0.06171,0.35284
132,73,FALL,GB,561,0.1202,0.013,0.95536,GADMOR,17.4888,0.6872,0.0097,0.05544
133,73,FALL,GB,561,0,0,0,LIMFER,17.4888,0,0,0
134,73,FALL,GB,561,0,0,0,LOPAME,17.4888,0,0,0
135,73,FALL,GB,561,0.0225,0,0.9138,MELAEG,17.4888,0.1284,0.00173,0.00991
136,73,FALL,GB,561,2.1871,0.771,0.4016,MERBIL,17.4888,12.5057,0.07417,0.42408
137,73,FALL,GB,561,4.9734,0.284,0.10709,OTHER,17.4888,28.4376,0.04497,0.25715
138,73,FALL,GB,561,4.9936,2.433,0.31235,OTHFIS,17.4888,28.5529,0.1317,0.75308
139,73,FALL,GB,561,0,0,0,PLEAME,17.4888,0,0,0
140,73,FALL,GB,561,0,0,0,RAJERI,17.4888,0,0,0
141,73,FALL,GB,561,0.0876,0.003,0.61922,SCOSCO,17.4888,0.5012,0.00458,0.0262
142,73,FALL,GB,561,0,0,0,SQUACA,17.4888,0,0,0
143,73,FALL,GB,561,3.2221,0.496,0.21868,UNIFIS,17.4888,18.4239,0.0595,0.3402
144,73,SPRING,GB,1048,1.0847,0.077,0.25655,CLUHAR,25.2081,4.3029,0.01719,0.0682
145,73,SPRING,GB,1048,0.0017,0,0.74923,GADMOR,25.2081,0.0068,0.00008,0.00031
146,73,SPRING,GB,1048,0.2811,0.07,0.94078,LIMFER,25.2081,1.1152,0.01634,0.06481
147,73,SPRING,GB,1048,0,0,0,LOPAME,25.2081,0,0,0
148,73,SPRING,GB,1048,0.6452,0.139,0.57814,MELAEG,25.2081,2.5596,0.02305,0.09142
149,73,SPRING,GB,1048,0.9501,0.077,0.29211,MERBIL,25.2081,3.769,0.01715,0.06802
150,73,SPRING,GB,1048,14.3687,1.342,0.08061,OTHER,25.2081,57.0005,0.07156,0.28386
151,73,SPRING,GB,1048,4.73,0.571,0.15981,OTHFIS,25.2081,18.7637,0.0467,0.18525
152,73,SPRING,GB,1048,0,0,0,PLEAME,25.2081,0,0,0
153,73,SPRING,GB,1048,0.0414,0.002,0.97179,RAJERI,25.2081,0.1641,0.00248,0.00985
154,73,SPRING,GB,1048,0.5561,0.087,0.52919,SCOSCO,25.2081,2.206,0.01818,0.07212
155,73,SPRING,GB,1048,0.008,0,0.71453,SQUACA,25.2081,0.0319,0.00036,0.00141
156,73,SPRING,GB,1048,2.541,0.158,0.15658,UNIFIS,25.2081,10.0803,0.02458,0.09751
157,74,FALL,GB,476,0.0078,0,0.5255,CLUHAR,1.0523,0.7458,0.00038,0.03593
158,74,FALL,GB,476,0,0,0,GADMOR,1.0523,0,0,0
159,74,FALL,GB,476,0,0,0,LIMFER,1.0523,0,0,0
160,74,FALL,GB,476,0,0,0,LOPAME,1.0523,0,0,0
161,74,FALL,GB,476,0.0025,0,0.6998,MELAEG,1.0523,0.2404,0.00016,0.01542
162,74,FALL,GB,476,0.0129,0,0.65611,MERBIL,1.0523,1.2265,0.00078,0.07377
163,74,FALL,GB,476,0.9726,0.039,0.20298,OTHER,1.0523,92.4294,0.0181,1.71987
164,74,FALL,GB,476,0.0291,0,0.45785,OTHFIS,1.0523,2.768,0.00122,0.11617
165,74,FALL,GB,476,0,0,0,PLEAME,1.0523,0,0,0
166,74,FALL,GB,476,0,0,0,RAJERI,1.0523,0,0,0
167,74,FALL,GB,476,0,0,0,SCOSCO,1.0523,0,0,0
168,74,FALL,GB,476,0,0,0,SQUACA,1.0523,0,0,0
169,74,FALL,GB,476,0.0273,0,0.3235,UNIFIS,1.0523,2.5899,0.00081,0.0768
170,74,SPRING,GB,579,0.0108,0,0.91723,CLUHAR,2.054,0.5264,0.00082,0.04013
171,74,SPRING,GB,579,0,0,0,GADMOR,2.054,0,0,0
172,74,SPRING,GB,579,0,0,0,LIMFER,2.054,0,0,0
173,74,SPRING,GB,579,0,0,0,LOPAME,2.054,0,0,0
174,74,SPRING,GB,579,0.0028,0,1.00874,MELAEG,2.054,0.136,0.00023,0.0114
175,74,SPRING,GB,579,0.0077,0,0.56063,MERBIL,2.054,0.3739,0.00036,0.01742
176,74,SPRING,GB,579,1.8537,0.097,0.1681,OTHER,2.054,90.2462,0.0259,1.2609
177,74,SPRING,GB,579,0.0075,0,0.44355,OTHFIS,2.054,0.364,0.00028,0.01342
178,74,SPRING,GB,579,0.0004,0,1.01193,PLEAME,2.054,0.0196,0.00003,0.00165
179,74,SPRING,GB,579,0,0,0,RAJERI,2.054,0,0,0
180,74,SPRING,GB,579,0.1654,0.027,1.00184,SCOSCO,2.054,8.0517,0.01377,0.67046
181,74,SPRING,GB,579,0,0,0,SQUACA,2.054,0,0,0
182,74,SPRING,GB,579,0.0058,0,0.5132,UNIFIS,2.054,0.2822,0.00025,0.01204
183,105,FALL,GB,436,0.0011,0,1.00465,CLUHAR,0.6011,0.1899,0.00011,0.01827
184,105,FALL,GB,436,0,0,0,GADMOR,0.6011,0,0,0
185,105,FALL,GB,436,0,0,0,LIMFER,0.6011,0,0,0
186,105,FALL,GB,436,0,0,0,LOPAME,0.6011,0,0,0
187,105,FALL,GB,436,0,0,0,MELAEG,0.6011,0,0,0
188,105,FALL,GB,436,0.0005,0,0.72671,MERBIL,0.6011,0.0772,0.00003,0.00538
189,105,FALL,GB,436,0.4156,0.002,0.1082,OTHER,0.6011,69.1432,0.00431,0.71659
190,105,FALL,GB,436,0.1833,0.015,0.67855,OTHFIS,0.6011,30.4887,0.01191,1.98157
191,105,FALL,GB,436,0,0,0,PLEAME,0.6011,0,0,0
192,105,FALL,GB,436,0,0,0,RAJERI,0.6011,0,0,0
193,105,FALL,GB,436,0,0,0,SCOSCO,0.6011,0,0,0
194,105,FALL,GB,436,0,0,0,SQUACA,0.6011,0,0,0
195,105,FALL,GB,436,0.0006,0,0.5496,UNIFIS,0.6011,0.1011,0.00003,0.00532
196,105,SPRING,GB,480,0,0,0,CLUHAR,0.5988,0,0,0
197,105,SPRING,GB,480,0,0,0,GADMOR,0.5988,0,0,0
198,105,SPRING,GB,480,0,0,0,LIMFER,0.5988,0,0,0
199,105,SPRING,GB,480,0,0,0,LOPAME,0.5988,0,0,0
200,105,SPRING,GB,480,0,0,0,MELAEG,0.5988,0,0,0
201,105,SPRING,GB,480,0,0,0,MERBIL,0.5988,0,0,0
202,105,SPRING,GB,480,0.5981,0.003,0.09549,OTHER,0.5988,99.8696,0.00521,0.87054
203,105,SPRING,GB,480,0.0007,0,0.96324,OTHFIS,0.5988,0.1147,0.00006,0.01009
204,105,SPRING,GB,480,0,0,0,PLEAME,0.5988,0,0,0
205,105,SPRING,GB,480,0,0,0,RAJERI,0.5988,0,0,0
206,105,SPRING,GB,480,0,0,0,SCOSCO,0.5988,0,0,0
207,105,SPRING,GB,480,0,0,0,SQUACA,0.5988,0,0,0
208,105,SPRING,GB,480,0.0001,0,1.00624,UNIFIS,0.5988,0.0157,0.00001,0.00144
209,106,FALL,GB,434,0,0,0,CLUHAR,1.8496,0,0,0
210,106,FALL,GB,434,0,0,0,GADMOR,1.8496,0,0,0
211,106,FALL,GB,434,0,0,0,LIMFER,1.8496,0,0,0
212,106,FALL,GB,434,0,0,0,LOPAME,1.8496,0,0,0
213,106,FALL,GB,434,0,0,0,MELAEG,1.8496,0,0,0
214,106,FALL,GB,434,0,0,0,MERBIL,1.8496,0,0,0
215,106,FALL,GB,434,1.7871,0.086,0.16368,OTHER,1.8496,96.6165,0.02808,1.51817
216,106,FALL,GB,434,0.0526,0.001,0.59298,OTHFIS,1.8496,2.8444,0.003,0.16193
217,106,FALL,GB,434,0,0,0,PLEAME,1.8496,0,0,0
218,106,FALL,GB,434,0,0,0,RAJERI,1.8496,0,0,0
219,106,FALL,GB,434,0,0,0,SCOSCO,1.8496,0,0,0
220,106,FALL,GB,434,0,0,0,SQUACA,1.8496,0,0,0
221,106,FALL,GB,434,0.01,0,0.6982,UNIFIS,1.8496,0.5391,0.00067,0.03613
222,106,SPRING,GB,407,0,0,0,CLUHAR,2.1667,0,0,0
223,106,SPRING,GB,407,0,0,0,GADMOR,2.1667,0,0,0
224,106,SPRING,GB,407,0,0,0,LIMFER,2.1667,0,0,0
225,106,SPRING,GB,407,0,0,0,LOPAME,2.1667,0,0,0
226,106,SPRING,GB,407,0,0,0,MELAEG,2.1667,0,0,0
227,106,SPRING,GB,407,0,0,0,MERBIL,2.1667,0,0,0
228,106,SPRING,GB,407,2.1486,0.114,0.15708,OTHER,2.1667,99.1629,0.03346,1.54418
229,106,SPRING,GB,407,0.018,0,1.00571,OTHFIS,2.1667,0.8288,0.00179,0.08263
230,106,SPRING,GB,407,0,0,0,PLEAME,2.1667,0,0,0
231,106,SPRING,GB,407,0,0,0,RAJERI,2.1667,0,0,0
232,106,SPRING,GB,407,0,0,0,SCOSCO,2.1667,0,0,0
233,106,SPRING,GB,407,0,0,0,SQUACA,2.1667,0,0,0
234,106,SPRING,GB,407,0.0002,0,1.00554,UNIFIS,2.1667,0.0084,0.00002,0.00083
235,121,FALL,GB,200,0,0,0,CLUHAR,4.7675,0,0,0
236,121,FALL,GB,200,0,0,0,GADMOR,4.7675,0,0,0
237,121,FALL,GB,200,0,0,0,LIMFER,4.7675,0,0,0
238,121,FALL,GB,200,0,0,0,LOPAME,4.7675,0,0,0
239,121,FALL,GB,200,0,0,0,MELAEG,4.7675,0,0,0
240,121,FALL,GB,200,0.802,0.553,0.92695,MERBIL,4.7675,16.8225,0.10514,2.20526
241,121,FALL,GB,200,2.5944,0.736,0.33063,OTHER,4.7675,54.418,0.12131,2.54452
242,121,FALL,GB,200,0.0164,0,0.48679,OTHFIS,4.7675,0.3437,0.00113,0.02366
243,121,FALL,GB,200,0,0,0,PLEAME,4.7675,0,0,0
244,121,FALL,GB,200,0,0,0,RAJERI,4.7675,0,0,0
245,121,FALL,GB,200,0,0,0,SCOSCO,4.7675,0,0,0
246,121,FALL,GB,200,0,0,0,SQUACA,4.7675,0,0,0
247,121,FALL,GB,200,1.3547,1.584,0.92905,UNIFIS,4.7675,28.4158,0.17799,3.73347
248,121,SPRING,GB,268,0.0009,0,1.03308,CLUHAR,1.0188,0.0904,0.00012,0.0114
249,121,SPRING,GB,268,0,0,0,GADMOR,1.0188,0,0,0
250,121,SPRING,GB,268,0,0,0,LIMFER,1.0188,0,0,0
251,121,SPRING,GB,268,0,0,0,LOPAME,1.0188,0,0,0
252,121,SPRING,GB,268,0,0,0,MELAEG,1.0188,0,0,0
253,121,SPRING,GB,268,0,0,0,MERBIL,1.0188,0,0,0
254,121,SPRING,GB,268,1.0126,0.036,0.18711,OTHER,1.0188,99.3897,0.02315,2.27192
255,121,SPRING,GB,268,0.0049,0,0.43848,OTHFIS,1.0188,0.4793,0.00026,0.02567
256,121,SPRING,GB,268,0,0,0,PLEAME,1.0188,0,0,0
257,121,SPRING,GB,268,0,0,0,RAJERI,1.0188,0,0,0
258,121,SPRING,GB,268,0,0,0,SCOSCO,1.0188,0,0,0
259,121,SPRING,GB,268,0,0,0,SQUACA,1.0188,0,0,0
260,121,SPRING,GB,268,0.0004,0,0.63081,UNIFIS,1.0188,0.0407,0.00003,0.00314
261,197,FALL,GB,293,10.2934,47.014,0.66613,CLUHAR,91.3776,11.2646,0.80114,0.87674
262,197,FALL,GB,293,14.3762,130.954,0.79601,GADMOR,91.3776,15.7327,1.33707,1.46324
263,197,FALL,GB,293,0.7183,0.517,1.00107,LIMFER,91.3776,0.7861,0.08401,0.09194
264,197,FALL,GB,293,0,0,0,LOPAME,91.3776,0,0,0
265,197,FALL,GB,293,1.7575,0.495,0.4004,MELAEG,91.3776,1.9233,0.08222,0.08998
266,197,FALL,GB,293,10.8389,20.653,0.41928,MERBIL,91.3776,11.8617,0.531,0.5811
267,197,FALL,GB,293,4.1873,3.249,0.43047,OTHER,91.3776,4.5824,0.2106,0.23048
268,197,FALL,GB,293,32.5019,82.673,0.27975,OTHFIS,91.3776,35.5688,1.06238,1.16262
269,197,FALL,GB,293,0,0,0,PLEAME,91.3776,0,0,0
270,197,FALL,GB,293,3.121,3.504,0.59973,RAJERI,91.3776,3.4155,0.2187,0.23934
271,197,FALL,GB,293,1.737,1.263,0.64711,SCOSCO,91.3776,1.9009,0.13133,0.14372
272,197,FALL,GB,293,0.7263,0.429,0.90225,SQUACA,91.3776,0.7948,0.07656,0.08379
273,197,FALL,GB,293,11.1199,3.163,0.15994,UNIFIS,91.3776,12.1692,0.20781,0.22742
274,197,SPRING,GB,158,0.6426,0.256,0.78715,CLUHAR,31.7727,2.0226,0.08049,0.25332
275,197,SPRING,GB,158,0.7743,0.608,1.00734,GADMOR,31.7727,2.437,0.1241,0.3906
276,197,SPRING,GB,158,1.0031,1.021,1.00734,LIMFER,31.7727,3.1572,0.16078,0.50604
277,197,SPRING,GB,158,0,0,0,LOPAME,31.7727,0,0,0
278,197,SPRING,GB,158,3.8959,10.183,0.81908,MELAEG,31.7727,12.2617,0.50773,1.59801
279,197,SPRING,GB,158,8.8554,6.444,0.28666,MERBIL,31.7727,27.8709,0.4039,1.27121
280,197,SPRING,GB,158,0.4027,0.044,0.52295,OTHER,31.7727,1.2675,0.03351,0.10547
281,197,SPRING,GB,158,4.712,3.66,0.40601,OTHFIS,31.7727,14.8304,0.3044,0.95807
282,197,SPRING,GB,158,0,0,0,PLEAME,31.7727,0,0,0
283,197,SPRING,GB,158,0,0,0,RAJERI,31.7727,0,0,0
284,197,SPRING,GB,158,0,0,0,SCOSCO,31.7727,0,0,0
285,197,SPRING,GB,158,0.2194,0.048,1.00105,SQUACA,31.7727,0.6906,0.03495,0.11
286,197,SPRING,GB,158,11.2672,10.577,0.28865,UNIFIS,31.7727,35.462,0.51748,1.62869